Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Welder,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,Learning and improving ,Accomplishment & Growth,N/A,No Compliants,Satisfied,80,N/A,Blank
Leadperson,Arizona - Chandler Shop,Strongly agree,100,Agree,80,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,C,Other,C,Other,Satisfied,80,,Blank
Crane operator,Arizona - Chandler Shop,Agree,80,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Agree,80,Fitting beam,Nature of Work,End bed,Other,Satisfied,80,,Blank
Fabrication lead,Arizona - Chandler Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The way they run the company and the way they treat workers and of course the bonus of each year I like and thank you for working for this company,People & Culture,The food  in the cafeteria ;( .. ,Working Conditions,Extremely satisfied,100,,Blank
Machine operator,Arizona - Chandler Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Disagree,40,Neither agree nor disagree,60,The job itself and learning new skills and techniques about steel,Nature of Work,"Second shift hrs, the heat",Schedule & Hours,Neither satisfied nor dissatisfied,60,Management ,Leadership Improvement
Leadperson,Arizona - Chandler Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Know how to do job well. The pay is excellent and the commute is perfect,Accomplishment & Growth,Short notices that a job needs to be done asap,Management & Leadership,Satisfied,80,N/A,Blank
Machine operator,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Working,Nature of Work,Nothing ,No Compliants,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Disagree,40,Strongly agree,100,Being a welder for steel fab,Nature of Work,I enjoy everything because I like to work ,No Compliants,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,the coworkers ,People & Culture,not enough hours ,Schedule & Hours,Extremely satisfied,100,nothing ,No Changes
Leadperson,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,I enjoy making sure things are done correctly and I enjoy coaching other employees ,Accomplishment & Growth,As a team I least enjoy reworking mistakes made ,People & Culture,Extremely satisfied,100,"I like to move up in position, to a position I really like doing to accomplish a goal I have for my future here. ",Training & Career Development
Welder,Arizona - Chandler Shop,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,I like the motivation and attitude with the night shift employees ,People & Culture,Working under the sun ,Working Conditions,Satisfied,80,To learn Howe to gauge ,Training & Career Development
Fabrication lead,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The people I work with ,People & Culture,Inconsistent hours,Schedule & Hours,Extremely satisfied,100,,Blank
Crane operator,Arizona - Chandler Shop,Agree,80,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,"Having opportunities to improve on myself, and the job environment ",Accomplishment & Growth,The weld smoke ,Working Conditions,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The helpfulness of my coworkers and the willingness to teach by some of my leads and coworkers. Overall just a great environment and helpful group of employees. ,People & Culture,N/A,No Compliants,Satisfied,80,Schedule just being released a little more efficiently. Give new employees confidence and willingness to establish themselves cause a lot may be scared of nervous and may not perform right away but taking away the opportunities for them to grow and improve may kill morale ,Schedule & Work-Life Balance
Fabrication lead,Arizona - Chandler Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,A toss up between getting paid and my coworkers ,Pay & Benefits,The lack of proofreading in their survey questions.,Other,Satisfied,80,A stable work schedule and some swamp coolers would be nice.,Schedule & Work-Life Balance
Welder,Arizona - Chandler Shop,Agree,80,Strongly agree,100,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,"My coworkers make the day go by fast in a good way. They are funny, knowledgeable, good teachers and very friendly.",People & Culture,"When you get hurt at work, you can lose your job or get a write up. ",Management & Leadership,Neither satisfied nor dissatisfied,60,"The paid rates, the accidents at work policy.",Better Pay & Benefits
Welder,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Getting to weld,Nature of Work,Working late,Schedule & Hours,Extremely satisfied,100,None,No Changes
Other,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Disagree,40,Strongly agree,100,Disagree,40,Agree,80,The lifting ,Nature of Work,The heat ,Working Conditions,Satisfied,80,The organization system in detail ,Work Policy & Culture
Maintenance,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Learning somthing new everyday from my maintenance manager ,Accomplishment & Growth,"The zero tolerance policy on getting hurt, cause accidents do happen and it makes people scared to report anything cause there scared to get fired ",Management & Leadership,Extremely satisfied,100,,Blank
Forklift operator,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,"From the sights, sounds, smells, experiences, different things to learn, pretty much everything about working in a fabrication shop there's nothing like it. I feel a great sense of pride with what we do.",Nature of Work,When the headphone policy was made. ,Management & Leadership,Extremely satisfied,100,"Being that I work outside on the forklift, allow me to have one head phone for music (on low), and let me smoke my cigarrettes.",Improved Equipment & Working Conditions
Fabrication lead,Arizona - Chandler Shop,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Disagree,40,Disagree,40,Teaching new employees and great attitude ,People & Culture,Trying to remember to punch in your work job ,Other,Dissatisfied,40, Better communication ,Leadership Improvement
Machine operator,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,The friendly leaders,People & Culture,The heat during the summer,Working Conditions,Satisfied,80,,Blank
Welder,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,This is a production company but of course they want to see people produce. But most of the management don’t create that high stress environment of a production company ,People & Culture,Being an open air facility with little ways to manage wind other then make your own wind blocker ,Working Conditions,Extremely satisfied,100,,Blank
Machine operator,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Make money  ,Pay & Benefits,Weather ,Working Conditions,Extremely satisfied,100,Nothing ,No Changes
Welder,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Everything,Nature of Work,Finding a parking spot in the morning!,Other,Extremely satisfied,100,Fix the parking lot it’s a shitshow!,Improved Equipment & Working Conditions
Forklift operator,Arizona - Chandler Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,The different jobs we work on always keep things interesting ,Nature of Work,N/a,No Compliants,Extremely satisfied,100,The temperature ,Improved Equipment & Working Conditions
Painter,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The good work environment ,People & Culture,…,No Compliants,Satisfied,80,Solo seguir creciendo ,Training & Career Development
Forklift operator,Arizona - Chandler Shop,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,The work,Nature of Work,I feel like I have much more to offer and could greatly benefit steelfab but not able to in my current role,Management & Leadership,Satisfied,80,When cutting large quantities of the same size material that if the cut list could be sequenced in order,Improved Equipment & Working Conditions
Forklift operator,Arizona - Chandler Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Disagree,40,Schedule ,Pay & Benefits,Getting frustrated ,Other,Neither satisfied nor dissatisfied,60,,Blank
Other,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The working environment and ability to grow within the company. ,People & Culture,The heat of Arizona,Working Conditions,Extremely satisfied,100,,Blank
Painter,Arizona - Chandler Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,The culture we have created,People & Culture,Nothing  ,No Compliants,Extremely satisfied,100,Air conditioner in paint ,Improved Equipment & Working Conditions
Machine operator,Arizona - Chandler Shop,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,The people  ,People & Culture,The heat mabe a swamp cooler would help  ,Working Conditions,Satisfied,80,I'm not sure,No Changes
Leadperson,Arizona - Chandler Shop,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,The opportunity to continually grow ,Accomplishment & Growth,"Day to day of not knowing what kind of mood the management is in, which could lead to being sent home/fired for small reasons. ",Management & Leadership,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Overall pretty much everything! I love the work the set up my coworkers and the supervisors. Almost like a family ,Nature of Work,Wish we had a longer lunch lol,Working Conditions,Extremely satisfied,100,Nothing,No Changes
Painter,Arizona - Chandler Shop,Agree,80,Strongly disagree,20,Agree,80,Strongly agree,100,Agree,80,Agree,80,Working with my coworkers,People & Culture,The heat ,Working Conditions,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Disagree,40,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Alex and Nate are great at there job,People & Culture,The way my supervisor Pedro tries to put every Hispanic person that comes thru the door ahead of everyone ,Management & Leadership,Satisfied,80,My lead supervisor Pedro..I feel everything else is fine,Leadership Improvement
Welder,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,"Good work environment, the leaders help me when I have some doubts about my work",People & Culture,everything is very good,No Compliants,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Strongly agree,100,Strongly disagree,20,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,The way they treat us and our schedule ,People & Culture,Nothing ,No Compliants,Extremely satisfied,100,,Blank
Machine operator,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,"Very good leaders, They provide a comfortable desirable place to work and spend a good portion of my days. They value and respect their pierce below them. ",People & Culture,I like overtime and would like to see more overtime available for everyone ,Pay & Benefits,Extremely satisfied,100,Would like to see more hours available for everyone ,Schedule & Work-Life Balance
Fabrication lead,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,"I like working with my coworkers. We have a good culture, and SteelFab is a good company to work for.",People & Culture,"Everything is good, i have no issues ",No Compliants,Extremely satisfied,100,Nothing ,No Changes
Leadperson,Arizona - Chandler Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly agree,100,The relationship with my co-workers ,People & Culture,The stress from time to time ,Other,Extremely satisfied,100,,Blank
Welder,Arizona - Chandler Shop,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Strongly agree,100,The ability to grow my experience and become more knowledgeable,Accomplishment & Growth,Lack of leadership/ favoritism,Management & Leadership,Neither satisfied nor dissatisfied,60,Better leadership and a more friendly environment,Leadership Improvement
Welder,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,Los compañeros de trabajo ,People & Culture,Nothing ,No Compliants,Satisfied,80,Bring back uto,Work Policy & Culture
Crane operator,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The benifts and leadership,Pay & Benefits,Nothing I enjoy everything ,No Compliants,Extremely satisfied,100,To bring back uto ,Work Policy & Culture
Leadperson,Arizona - Chandler Shop,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Agree,80,Strongly agree,100,I like everything ,Nature of Work,Nothing ,No Compliants,Extremely satisfied,100,,Blank
Maintenance,Arizona - Chandler Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The environment ,People & Culture,Nothing,No Compliants,Satisfied,80,,Blank
Other,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,HR Manager ,People & Culture,"Nothing, I enjoy my job ",No Compliants,Extremely satisfied,100,,Blank
Quality control,Arizona - Chandler Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,working with my fellow comrades and having opportunities to grow and learn within my role,People & Culture,the stress at times ,People & Culture,Satisfied,80,"more consistent work flow, and more communication with supervisors ",Leadership Improvement
Quality control,Arizona - Chandler Shop,Agree,80,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,The opportunity to learn and grow in order to help pave a road to success. A road can't be built alone.,Accomplishment & Growth,All is enjoyed,No Compliants,Extremely satisfied,100,,Blank
Fitter,Georgia - Dublin Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Agree,80,Being able to feed my family ,Pay & Benefits,I have to leave my family ,Schedule & Hours,Satisfied,80,Change the schedule to 40 hrs a week,Schedule & Work-Life Balance
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Coworkers,People & Culture,My supervisor. ,Management & Leadership,Neither satisfied nor dissatisfied,60,Change supervisor ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Disagree,40,Neither agree nor disagree,60,"Good benefits, company cares about employees, profit share is very helpful.",Pay & Benefits,I really don’t enjoy the culture of the shop. Supervisors can be very difficult to deal with as well.  The shop manager is also a very well spoken man and trustable. HR is also very helpful. ,People & Culture,Dissatisfied,40,"I would have the supervisors take psychology courses, before they start as a leader. Also, have them read some books that are helpful with communication and leadership. ",Leadership Improvement
Fitter,Georgia - Dublin Shop,Strongly agree,100,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly disagree,20,Strongly agree,100,Money ,Pay & Benefits,Idk,No Compliants,Extremely satisfied,100,Our supervisor attitude ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Disagree,40,Disagree,40,Agree,80,Strongly agree,100,Strongly disagree,20,Disagree,40,I enjoy the work itself the men I work with are great guys the benefits are good and other perks of being employed by steelfab like the gift card the long weekends on nightshift ..,Nature of Work,Attitudes of the supervisor and lead persons weld lead and fit lead ,Management & Leadership,Extremely satisfied,100,Better communication from the supervisor less rushing on fitting and welding more training time for our new employees   ,Leadership Improvement
Fitter,Georgia - Dublin Shop,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly disagree,20,Agree,80,Variety of work,Nature of Work,Certain people poor memory,People & Culture,Extremely satisfied,100,Willingness to teach people who want to learn is very much needed from leadership. ,Work Policy & Culture
Fitter,Georgia - Dublin Shop,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Disagree,40,Agree,80,Welding,Nature of Work,That we will be running low on material causing our hours to decrease but still get rushed all night to push everything possible out the shop ,Equipment & Resources,Satisfied,80,A supervisor with a better attitude and a lead man that’s not a child ,Leadership Improvement
